,Player Name,From,To,Years in NBA,Primary Position,Secondary Postion
0,Alaa Abdelnaby,1991,1995,4,F,
1,Zaid Abdul-Aziz,1969,1978,9,C,F
2,Kareem Abdul-Jabbar*,1970,1989,19,C,
3,Mahmoud Abdul-Rauf,1991,2001,10,G,
4,Tariq Abdul-Wahad,1998,2003,5,F,
5,Shareef Abdur-Rahim,1997,2008,11,F,
6,Tom Abernethy,1977,1981,4,F,
7,Forest Able,1957,1957,0,G,
8,John Abramovic,1947,1948,1,F,
9,Álex Abrines,2017,2019,2,G,F
10,Precious Achiuwa,2021,2022,1,F,
11,Alex Acker,2006,2009,3,G,
12,Don Ackerman,1954,1954,0,G,
13,Mark Acres,1988,1993,5,F,C
14,Bud Acton,1968,1968,0,F,
15,Quincy Acy,2013,2019,6,F,C
16,Alvan Adams,1976,1988,12,C,F
17,Don Adams,1971,1977,6,F,
18,George Adams,1973,1975,2,F,G
19,Hassan Adams,2007,2009,2,G,
20,Jaylen Adams,2019,2021,2,G,
21,Jordan Adams,2015,2016,1,G,
22,Michael Adams,1986,1996,10,G,
23,Steven Adams,2014,2022,8,C,
24,Rafael Addison,1987,1997,10,F,G
25,Bam Adebayo,2018,2022,4,C,F
26,Deng Adel,2019,2019,0,F,
27,Rick Adelman*,1969,1975,6,G,
28,Jeff Adrien,2011,2015,4,F,
29,Arron Afflalo,2008,2018,10,G,F
30,Maurice Ager,2007,2011,4,G,
31,Mark Aguirre,1982,1994,12,F,G
32,Blake Ahearn,2008,2012,4,G,
33,Danny Ainge,1982,1995,13,G,
34,Matthew Aitch,1968,1968,0,F,
35,Alexis Ajinça,2009,2017,8,C,F
36,Henry Akin,1967,1969,2,C,F
37,Josh Akognon,2013,2013,0,G,
38,DeVaughn Akoon-Purcell,2019,2019,0,G,
39,Solomon Alabi,2011,2012,1,C,
40,Mark Alarie,1987,1991,4,F,
41,Gary Alcorn,1960,1961,1,C,
42,Santi Aldama,2022,2022,0,F,
43,Furkan Aldemir,2015,2015,0,F,C
44,Cole Aldrich,2011,2018,7,C,
45,LaMarcus Aldridge,2007,2022,15,F,C
46,Chuck Aleksinas,1985,1985,0,C,
47,Cliff Alexander,2016,2016,0,F,
48,Cory Alexander,1996,2005,9,G,
49,Courtney Alexander,2001,2003,2,G,
50,Gary Alexander,1994,1994,0,F,
51,Joe Alexander,2009,2010,1,F,
52,Kyle Alexander,2020,2020,0,F,
53,Ty-Shon Alexander,2021,2021,0,G,
54,Victor Alexander,1992,2002,10,C,F
55,Nickeil Alexander-Walker,2020,2022,2,G,
56,Steve Alford,1988,1991,3,G,
57,Rawle Alkins,2019,2019,0,G,
58,Bill Allen,1968,1968,0,C,F
59,Bob Allen,1969,1969,0,F,
60,Grayson Allen,2019,2022,3,G,
61,Jarrett Allen,2018,2022,4,C,F
62,Jerome Allen,1996,1997,1,G,
63,Kadeem Allen,2018,2020,2,G,
64,Lavoy Allen,2012,2017,5,F,C
65,Lucius Allen,1970,1979,9,G,
66,Malik Allen,2002,2011,9,F,C
67,Randy Allen,1989,1990,1,F,
68,Ray Allen*,1997,2014,17,G,
69,Tony Allen,2005,2018,13,G,F
70,Willie Allen,1972,1972,0,F,
71,Odis Allison,1972,1972,0,F,
72,Lance Allred,2008,2008,0,C,
73,Darrell Allums,1981,1981,0,F,
74,Morris Almond,2008,2012,4,G,
75,Derrick Alston,1995,1997,2,F,
76,Rafer Alston,2000,2010,10,G,
77,Peter Aluma,1999,1999,0,C,
78,Jose Alvarado,2022,2022,0,G,
79,John Amaechi,1996,2003,7,C,F
80,Ashraf Amaya,1996,1997,1,F,
81,Al-Farouq Aminu,2011,2021,10,F,
82,Lou Amundson,2007,2016,9,F,C
83,Bob Anderegg,1960,1960,0,F,G
84,Chris Andersen,2002,2017,15,C,F
85,David Andersen,2010,2011,1,C,
86,Alan Anderson,2006,2017,11,G,F
87,Andrew Anderson,1968,1970,2,G,
88,Antonio Anderson,2010,2010,0,G,
89,Cliff Anderson,1968,1971,3,G,F
90,Dan Anderson,1968,1969,1,C,
91,Dan Anderson,1975,1976,1,G,
92,Derek Anderson,1998,2008,10,G,
93,Dwight Anderson,1983,1983,0,G,
94,Eric Anderson,1993,1994,1,F,
95,Greg Anderson,1988,1998,10,F,C
96,J.J. Anderson,1983,1985,2,F,
97,James Anderson,2011,2016,5,G,F
98,Jerome Anderson,1976,1977,1,G,
99,Justin Anderson,2016,2022,6,G,
100,Kenny Anderson,1992,2005,13,G,
101,Kim Anderson,1979,1979,0,F,
102,Kyle Anderson,2015,2022,7,F,G
103,Michael Anderson,1989,1989,0,G,
104,Nick Anderson,1990,2002,12,F,G
105,Richard Anderson,1983,1990,7,F,C
106,Ron Anderson,1985,1994,9,F,G
107,Ryan Anderson,2009,2020,11,F,
108,Shandon Anderson,1997,2006,9,F,G
109,Willie Anderson,1989,1997,8,G,F
110,Wally Anderzunas,1970,1970,0,C,F
111,Martynas Andriuškevičius,2006,2006,0,C,
112,Don Anielak,1955,1955,0,F,
113,Ike Anigbogu,2018,2019,1,F,C
114,Michael Ansley,1990,1992,2,F,
115,Chris Anstey,1998,2000,2,C,
116,Giannis Antetokounmpo,2014,2022,8,F,G
117,Kostas Antetokounmpo,2019,2021,2,F,
118,Thanasis Antetokounmpo,2016,2022,6,F,
119,Carmelo Anthony,2004,2022,18,F,
120,Cole Anthony,2021,2022,1,G,
121,Greg Anthony,1992,2002,10,G,
122,Joel Anthony,2008,2017,9,C,
123,Pero Antić,2014,2015,1,C,F
